=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.16 18:48:30 =~=~=~=~=~=~=~=~=~=~=~=,,,
-749,403,288,
-809,68,-138,
-791,-235,-378,
-837,-354,-631,
-816,-435,-789,
-813,-564,-856,
-747,-659,-860,
-704,-727,-858,
-675,-831,-784,
-719,-937,-763,
-736,-912,-766,
-759,-891,-905,
-814,-812,-1114,
-881,-825,-1246,
-948,-808,-1366,
-988,-806,-1414,
-986,-743,-1377,
-974,-665,-1226,
-953,-581,-1097,
-844,-424,-934,
-731,-335,-787,
-676,-210,-691,
-647,-100,-507,
-633,-71,-365,
-644,79,-272,
-691,156,-152,
-757,135,-37,
-857,171,37,
-936,243,82,
-1090,281,65,
-1133,314,133,
-1294,296,167,
-1355,286,250,
-1465,286,317,
-1599,265,319,
-1685,282,318,
-1814,191,384,
-1950,196,504,
-2057,175,618,
-2155,153,783,
-2235,20,859,
-2315,-39,940,
-2390,-174,986,
-2400,-281,869,
-2401,-429,705,
-2299,-539,541,
-2181,-594,163,
-2036,-685,-175,
-1845,-678,-488,
-1616,-711,-799,
-1557,-678,-1109,
-1400,-665,-1305,
-1150,-695,-1611,
-969,-749,-1874,
-783,-728,-2064,
-545,-721,-2401,
-270,-702,-2601,
-91,-728,-2739,
69,-732,-3057,
179,-709,-3472,
312,-637,-3603,
274,-635,-3719,
218,-599,-3689,
68,-516,-3706,
-98,-483,-3579,
-273,-427,-3454,
-513,-243,-3267,
-684,-144,-3035,
-818,4,-2975,
-1055,80,-2910,
-1204,201,-2974,
-1379,248,-2863,
-1610,235,-2719,
-1703,350,-2703,
-1921,468,-2626,
-1990,561,-2504,
-2074,677,-2312,
-2086,672,-2172,
-2183,695,-1856,
-2262,738,-1720,
-2464,763,-1713,
-2558,775,-1722,
-2580,810,-1768,
-2656,814,-1864,
-2670,821,-1914,
-2683,708,-1980,
-2685,585,-1950,
-2750,497,-1978,
-2880,357,-2012,
-2997,225,-1983,
-2734,72,-1854,
-2655,-122,-1753,
-2478,-345,-1787,
-2102,-471,-1907,
-1848,-525,-2139,
-1605,-548,-2381,
-1253,-673,-2594,
-895,-684,-2865,
-685,-659,-3089,
-503,-695,-3202,
-323,-764,-3316,
-151,-761,-3320,
-19,-772,-3396,
149,-861,-3377,
147,-926,-3350,
385,-867,-3195,
566,-901,-2979,
611,-934,-2892,
631,-938,-2771,
644,-889,-2561,
625,-857,-2354,
575,-818,-2214,
563,-780,-2094,
